event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Regional Networking Showcase,Hackathon,Monday,10AM,Library,Instagram,164,111,2786,2.2,Felt underprepared for the number of attendees
Global Product Forum,Social Event,Monday,6PM,Online,Email,65,66,2035,3.2,Good organization and networking
Open Data Science Night,Workshop,Friday,12PM,Student Center,LinkedIn,162,166,7859,3.2,Average event could improve timing
Regional AI Symposium,Seminar,Tuesday,4PM,Library,Flyers,129,79,4027,2.9,"Turnout was disappointing, hard to stay engaged"
Collaborative Product Summit,Workshop,Wednesday,2PM,Student Center,Flyers,463,314,1211,2.4,Felt underprepared for the number of attendees
Global Innovation Summit,Career Fair,Monday,6PM,Library,Multiple,491,658,6425,2.9,Felt underprepared for the number of attendees
Advanced Design Symposium,Workshop,Saturday,12PM,Library,Email,487,343,4314,1.6,Too crowded and poorly managed
Applied Networking Summit,Hackathon,Wednesday,12PM,Library,Flyers,157,123,4874,3.2,Average event could improve timing
Open Networking Showcase,Social Event,Saturday,12PM,Student Center,Instagram,133,136,8073,2.9,"Turnout was disappointing, hard to stay engaged"
Advanced Design Summit,Social Event,Tuesday,2PM,University Center,Instagram,470,407,1025,2.6,"Turnout was disappointing, hard to stay engaged"
Open Robotics Meetup,Networking,Friday,2PM,Engineering Hall,LinkedIn,252,236,8017,2.8,Too crowded and poorly managed
Global Robotics Forum,Hackathon,Friday,6PM,Library,Multiple,269,436,7043,3.2,Interesting but promotion was weak
Advanced Research Summit,Career Fair,Monday,10AM,University Center,Instagram,371,357,3121,3.1,Average event could improve timing
Applied Innovation Summit,Career Fair,Thursday,6PM,Online,Multiple,178,467,9564,2.3,Too crowded and poorly managed
Collaborative Data Science Showcase,Hackathon,Friday,2PM,Library,Email,200,171,7623,2.6,Too crowded and poorly managed
Interactive Research Meetup,Hackathon,Wednesday,6PM,Engineering Hall,Multiple,104,167,5389,3.4,Average event could improve timing
